ds,yhat,yhat_lower,yhat_upper,Producto,cambio,movimiento
2025-11-05,9999.841896071463,9994.62936470045,10005.119167976392,Aguacate Papelillo,709.3153172813145,subió
2025-11-06,10000.090684798088,9995.089954062494,10004.92108941441,Aguacate Papelillo,0.24878872662520735,subió
2025-11-07,9998.933490019523,9994.127202235084,10003.767647737255,Aguacate Papelillo,-1.1571947785650991,bajó
2025-11-08,9999.684245126002,9994.144231123146,10004.211651141311,Aguacate Papelillo,0.7507551064791187,subió
2025-11-09,9290.535758838056,9285.467947483383,9295.652973530225,Aguacate Papelillo,-709.1484862879461,bajó
2025-11-10,10000.015029440821,9994.762774993958,10004.678926531124,Aguacate Papelillo,709.4792706027656,subió
2025-11-11,9290.54008104912,9285.660690399623,9295.421692379048,Aguacate Papelillo,-709.4749483917021,bajó
2025-11-12,9999.855684882943,9994.865967726211,10004.397466270006,Aguacate Papelillo,709.3156038338238,subió
2025-11-13,10000.10485258233,9995.226351549734,10004.993227475796,Aguacate Papelillo,0.24916769938681682,subió
2025-11-14,9998.948098395613,9994.106510722886,10004.062842115762,Aguacate Papelillo,-1.1567541867170803,bajó
2025-11-15,9999.699319972959,9994.717096419066,10004.788024869915,Aguacate Papelillo,0.7512215773458593,subió
2025-11-16,9290.551286547621,9285.397567140966,9295.968414612324,Aguacate Papelillo,-709.1480334253374,bajó
2025-11-17,10000.030954479744,9994.766392890115,10005.381101900435,Aguacate Papelillo,709.4796679321225,subió
2025-11-18,9290.556304937596,9285.937642650815,9295.568068290517,Aguacate Papelillo,-709.4746495421477,bajó
2025-11-19,9999.872066635275,9994.980297244758,10005.237896217217,Aguacate Papelillo,709.3157616976787,subió
2025-11-20,10000.121210602862,9995.273305561872,10005.001706249563,Aguacate Papelillo,0.24914396758686053,subió
2025-11-21,9998.96421380392,9993.815010371774,10003.837039550735,Aguacate Papelillo,-1.156996798941691,bajó
2025-11-22,9999.714941271768,9995.06213353941,10004.400892968479,Aguacate Papelillo,0.7507274678482645,subió
2025-11-23,9290.566135466242,9285.522784441986,9295.487103498515,Aguacate Papelillo,-709.1488058055256,bajó
2025-11-24,10000.044732894821,9995.101054407356,10004.488655056417,Aguacate Papelillo,709.4785974285787,subió
2025-11-25,9290.568702628148,9285.590039594981,9295.8267710826,Aguacate Papelillo,-709.4760302666728,bajó
2025-11-26,9999.882769660166,9994.522205686235,10004.98429631087,Aguacate Papelillo,709.3140670320172,subió
2025-11-27,10000.129910053649,9995.070218154766,10005.016533314212,Aguacate Papelillo,0.24714039348327788,subió
2025-11-28,9998.970614681726,9993.820540886705,10004.030883076755,Aguacate Papelillo,-1.1592953719227808,bajó
2025-11-29,9999.718771219988,9994.93133278433,10004.955628797596,Aguacate Papelillo,0.7481565382622648,subió
2025-11-30,9290.567153104905,9285.27968575336,9295.485559674144,Aguacate Papelillo,-709.1516181150837,bajó
2025-12-01,10000.042735498042,9995.194902379671,10004.911100233528,Aguacate Papelillo,709.4755823931373,subió
2025-12-02,9290.563532920914,9285.527216609398,9295.775669927814,Aguacate Papelillo,-709.4792025771276,bajó
2025-12-03,9999.874321511586,9994.874903305765,10004.42267090894,Aguacate Papelillo,709.310788590672,subió
2025-12-04,10000.118132917387,9995.03206763884,10005.238796408694,Aguacate Papelillo,0.24381140580044303,subió
2025-12-05,9998.955516617727,9993.979010625259,10003.978902162782,Aguacate Papelillo,-1.1626162996599305,bajó
2025-12-06,9999.700420394554,9994.519799498237,10004.768642734034,Aguacate Papelillo,0.7449037768274138,subió
2025-12-07,9290.545677749531,9285.566251945924,9295.506576704525,Aguacate Papelillo,-709.1547426450234,bajó
2025-12-08,10000.018322262275,9995.186632446788,10004.839446362235,Aguacate Papelillo,709.4726445127435,subió
2025-12-09,9290.536423698893,9285.469879764643,9295.314318193266,Aguacate Papelillo,-709.481898563381,bajó
2025-12-10,9999.844808794027,9994.800899464128,10005.173352312362,Aguacate Papelillo,709.3083850951334,subió
2025-12-11,10000.086553807078,9994.985466782982,10004.632418509342,Aguacate Papelillo,0.24174501305060403,subió
2025-12-12,9998.922245653406,9993.749785529732,10003.757377316304,Aguacate Papelillo,-1.1643081536712998,bajó
2025-12-13,9999.665861388541,9994.728238391199,10004.692625646872,Aguacate Papelillo,0.7436157351348811,subió
2025-12-14,9290.510254850647,9285.148545696546,9295.723683547607,Aguacate Papelillo,-709.1556065378936,bajó
2025-12-15,9999.982470522264,9994.670518084858,10004.995781235932,Aguacate Papelillo,709.4722156716161,subió
2025-12-16,9290.500579350133,9285.100643480415,9295.536818709379,Aguacate Papelillo,-709.4818911721304,bajó
2025-12-17,9999.809399549184,9994.331874924415,10004.638937790094,Aguacate Papelillo,709.3088201990504,subió
2025-12-18,10000.051989422453,9994.97274052864,10004.719105347158,Aguacate Papelillo,0.2425898732690257,subió
2025-12-19,9998.888909034686,9993.362376114974,10003.973130417595,Aguacate Papelillo,-1.1630803877669678,bajó
2025-12-20,9999.634100462808,9995.000602079517,10004.58605473487,Aguacate Papelillo,0.74519142812278,subió
2025-12-21,9290.48037543378,9285.177221386077,9294.85034850047,Aguacate Papelillo,-709.1537250290276,bajó
2025-12-22,9999.954730361398,9995.001897098455,10004.620917123168,Aguacate Papelillo,709.4743549276172,subió
2025-12-23,9290.475183514543,9285.4454892157,9295.363432787706,Aguacate Papelillo,-709.4795468468546,bajó
2025-12-24,9999.78649727029,9994.643456028007,10004.925638719882,Aguacate Papelillo,709.3113137557466,subió
2025-12-25,10000.031672464725,9995.117075479431,10004.85562425306,Aguacate Papelillo,0.24517519443543279,subió
2025-12-26,9998.87121160355,9994.031719703618,10003.847799234398,Aguacate Papelillo,-1.160460861176034,bajó
2025-12-27,9999.619000676763,9994.591925972483,10004.6097565053,Aguacate Papelillo,0.7477890732134256,subió
2025-12-28,9290.46779825633,9285.61162929559,9295.735623058648,Aguacate Papelillo,-709.151202420433,bajó
2025-12-29,9999.944551908902,9994.708102587301,10004.70693161646,Aguacate Papelillo,709.4767536525724,subió
2025-12-30,9290.467236600733,9285.677266635566,9295.706758433702,Aguacate Papelillo,-709.4773153081696,bajó
2025-12-31,9999.780577995894,9994.559784458808,10004.902164229545,Aguacate Papelillo,709.3133413951618,subió
2026-01-01,10000.027547649941,9994.978246058505,10004.703457803791,Aguacate Papelillo,0.24696965404655202,subió
2026-01-02,9998.868626850093,9993.785955456515,10004.047238386103,Aguacate Papelillo,-1.1589207998476923,bajó
2026-01-03,9999.61768878244,9994.778173610159,10004.971106152729,Aguacate Papelillo,0.7490619323471037,subió
2026-01-04,9290.467487754333,9285.249785944694,9295.310507190523,Aguacate Papelillo,-709.1502010281074,bajó
2026-01-05,9999.944975459828,9994.797292590261,10004.644858047468,Aguacate Papelillo,709.4774877054952,subió
2026-01-06,9290.468138995297,9285.319741642026,9295.545873184466,Aguacate Papelillo,-709.4768364645315,bajó
2026-01-07,9999.781723538203,9994.73833293449,10005.179268529946,Aguacate Papelillo,709.313584542906,subió
2026-01-08,10000.028726699933,9995.22536705145,10005.05191247616,Aguacate Papelillo,0.24700316173039027,subió
2026-01-09,9998.86966135157,9994.018625569828,10003.675590564933,Aguacate Papelillo,-1.1590653483635833,bajó
2026-01-10,9999.618436592966,9994.610816840246,10004.704331980647,Aguacate Papelillo,0.748775241396288,subió
2026-01-11,9290.467845720988,9285.68779515064,9295.096670607873,Aguacate Papelillo,-709.1505908719773,bajó
2026-01-12,9999.944881103282,9994.983808260955,10005.012462647812,Aguacate Papelillo,709.4770353822933,subió
2026-01-13,9290.467570817866,9285.470484322841,9295.220189589025,Aguacate Papelillo,-709.477310285416,bajó
2026-01-14,9999.780699942512,9995.15469216948,10004.868206189562,Aguacate Papelillo,709.3131291246464,subió
2026-01-15,10000.02730358389,9994.89158023927,10004.802730120518,Aguacate Papelillo,0.246603641378897,subió
2026-01-16,9998.867928469888,9993.873614546981,10003.894942316594,Aguacate Papelillo,-1.1593751140026143,bajó
2026-01-17,9999.616512860244,9994.890245515477,10005.07263827166,Aguacate Papelillo,0.7485843903559726,subió
2026-01-18,9290.465873524146,9285.589555365148,9295.419744916415,Aguacate Papelillo,-709.1506393360978,bajó
2026-01-19,9999.943019949267,9995.140658054925,10004.660595946501,Aguacate Papelillo,709.4771464251207,subió
2026-01-20,9290.465990432553,9285.309331362094,9294.94343781616,Aguacate Papelillo,-709.4770295167145,bajó
2026-01-21,9999.779573109345,9994.953736151485,10004.901890331063,Aguacate Papelillo,709.3135826767921,subió
2026-01-22,10000.026798932424,9995.225162781553,10004.846718919629,Aguacate Papelillo,0.247225823079134,subió
2026-01-23,9998.868203489936,9993.933601296747,10004.01070070339,Aguacate Papelillo,-1.1585954424881493,bajó
2026-01-24,9999.617707314485,9994.973964276904,10004.609077918129,Aguacate Papelillo,0.7495038245488104,subió
2026-01-25,9290.468103560357,9285.718823901823,9295.51187046376,Aguacate Papelillo,-709.1496037541274,bajó
2026-01-26,9999.946373029954,9994.842551744961,10004.973932051005,Aguacate Papelillo,709.4782694695969,subió
2026-01-27,9290.470521303265,9285.350105797119,9295.155897738347,Aguacate Papelillo,-709.4758517266891,bajó
2026-01-28,9999.785300903206,9995.157095307026,10005.128809355183,Aguacate Papelillo,709.3147795999412,subió
2026-01-29,10000.033705554979,9995.18911273315,10005.054816814807,Aguacate Papelillo,0.2484046517729439,subió
2026-01-30,9998.876233267267,9993.74661069242,10003.318986136972,Aguacate Papelillo,-1.157472287712153,bajó
2026-01-31,9999.626768006961,9994.559779034544,10004.561099258977,Aguacate Papelillo,0.7505347396945581,subió
2026-02-01,9290.478068653767,9285.319519190058,9295.348779473255,Aguacate Papelillo,-709.1486993531944,bajó
2026-02-02,9999.957085230271,9994.546680123864,10004.920121388717,Aguacate Papelillo,709.4790165765044,subió
2026-02-03,9290.481797160592,9285.560187413766,9295.576339495248,Aguacate Papelillo,-709.4752880696797,bajó
2026-02-04,9999.796936391951,9994.823840495494,10004.758153262053,Aguacate Papelillo,709.3151392313594,subió
2026-02-05,10000.045482424632,9994.923709974337,10005.216316167767,Aguacate Papelillo,0.24854603268067876,subió
2026-02-06,9998.887925980314,9993.769126170178,10003.816173033929,Aguacate Papelillo,-1.157556444317379,bajó
2026-02-07,9999.63815100762,9994.854911966353,10004.439586333137,Aguacate Papelillo,0.7502250273064419,subió
2026-02-08,9290.48892373864,9285.533590121056,9295.33938968011,Aguacate Papelillo,-709.1492272689811,bajó
2026-02-09,9999.967208806589,9995.195072662438,10004.519154138481,Aguacate Papelillo,709.4782850679494,subió
2026-02-10,9290.491007080436,9285.5577035998,9295.396597996809,Aguacate Papelillo,-709.4762017261528,bajó
2026-02-11,9999.80507820106,9994.932952958103,10004.774212803248,Aguacate Papelillo,709.3140711206233,subió
2026-02-12,10000.05243475206,9995.13778470963,10004.945083917346,Aguacate Papelillo,0.2473565510008484,subió
2026-02-13,9998.893604931607,9993.769119479735,10003.731957570395,Aguacate Papelillo,-1.1588298204533203,bajó
2026-02-14,9999.64251334366,9994.551169926455,10004.496184902557,Aguacate Papelillo,0.7489084120534244,subió
2026-02-15,9290.491968785886,9285.449012724705,9295.048664722479,Aguacate Papelillo,-709.150544557775,bajó
2026-02-16,9999.968978934401,9995.112112060413,10005.02104827548,Aguacate Papelillo,709.4770101485155,subió
